2024-11-18 02:13:26,503 p=46913 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 02:40:21,559 p=57220 u=jason n=ansible | TASK [config-dns : Stop systemd-resolved] *******************************************************************************************************************************
2024-11-18 02:40:22,167 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:22,168 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:22,181 p=57220 u=jason n=ansible | PLAY [Prometheus Server] ************************************************************************************************************************************************
2024-11-18 02:40:22,187 p=57220 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:40:23,311 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:23,316 p=57220 u=jason n=ansible | TASK [prometheus : Install Prometheus] **********************************************************************************************************************************
2024-11-18 02:40:24,454 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:24,461 p=57220 u=jason n=ansible | TASK [prometheus : Copy Prometheus default file] ************************************************************************************************************************
2024-11-18 02:40:25,128 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:25,134 p=57220 u=jason n=ansible | TASK [prometheus : Modify /etc/prometheus/prometheus.yml] ***************************************************************************************************************
2024-11-18 02:40:25,823 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:25,834 p=57220 u=jason n=ansible | TASK [prometheus : Enable Prometheus] ***********************************************************************************************************************************
2024-11-18 02:40:26,467 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:26,476 p=57220 u=jason n=ansible | PLAY [Configure Database Server] ****************************************************************************************************************************************
2024-11-18 02:40:26,483 p=57220 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:40:27,548 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:27,552 p=57220 u=jason n=ansible | TASK [mysql : Install MySQL Server] *************************************************************************************************************************************
2024-11-18 02:40:28,728 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:28,734 p=57220 u=jason n=ansible | TASK [mysql : Copy Override Config] *************************************************************************************************************************************
2024-11-18 02:40:29,431 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:29,438 p=57220 u=jason n=ansible | TASK [mysql : Enable and Start MySQL Server] ****************************************************************************************************************************
2024-11-18 02:40:30,051 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:30,057 p=57220 u=jason n=ansible | TASK [mysql : MySQL Database] *******************************************************************************************************************************************
2024-11-18 02:40:30,558 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:30,565 p=57220 u=jason n=ansible | TASK [mysql : Create MySQL User] ****************************************************************************************************************************************
2024-11-18 02:40:31,175 p=57220 u=jason n=ansible | [WARNING]: Option column_case_sensitive is not provided. The default is now false, so the column's name will be uppercased. The default will be changed to true in
community.mysql 4.0.0.

2024-11-18 02:40:31,175 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:40:31,183 p=57220 u=jason n=ansible | PLAY [Configure Agama] **************************************************************************************************************************************************
2024-11-18 02:40:31,191 p=57220 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:40:32,322 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:32,327 p=57220 u=jason n=ansible | TASK [agama : make user Agama] ******************************************************************************************************************************************
2024-11-18 02:40:32,865 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:32,872 p=57220 u=jason n=ansible | TASK [agama : Agama is owner now] ***************************************************************************************************************************************
2024-11-18 02:40:33,248 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:33,253 p=57220 u=jason n=ansible | TASK [agama : download python3 flask sql] *******************************************************************************************************************************
2024-11-18 02:40:34,359 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:34,365 p=57220 u=jason n=ansible | TASK [agama : Download agama.py] ****************************************************************************************************************************************
2024-11-18 02:40:34,965 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:34,974 p=57220 u=jason n=ansible | PLAY [Configure uWSGI] **************************************************************************************************************************************************
2024-11-18 02:40:34,981 p=57220 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:40:36,028 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:36,033 p=57220 u=jason n=ansible | TASK [uwsgi : Install uWSGI] ********************************************************************************************************************************************
2024-11-18 02:40:37,128 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:37,135 p=57220 u=jason n=ansible | TASK [uwsgi : Configure host uwsgi] *************************************************************************************************************************************
2024-11-18 02:40:37,821 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:37,827 p=57220 u=jason n=ansible | TASK [uwsgi : Enable and start uWSGI service] ***************************************************************************************************************************
2024-11-18 02:40:38,451 p=57220 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:40:38,459 p=57220 u=jason n=ansible | PLAY [Configure Nginx] **************************************************************************************************************************************************
